description,label
Button clicking save not responding in dashboard,Bug Fix
Document search environment vars,Documentation
Button dark mode not responding in Android,Bug Fix
Add logout export in webhook,Feature Request
Incorrect language switch shown after Android,Bug Fix
Add option to password reset in OAuth,Feature Request
Update changelog for webhook,Documentation
Make language switch configurable,Feature Request
Add shortcut for dark mode,Feature Request
Support infinite scroll for checkout,Feature Request
Clarify billing steps in docs,Documentation
Introduce file upload filter in upload,Feature Request
Expand notifications section with example,Documentation
Clarify Android steps in docs,Documentation
App crashes when adding tag on Chrome,Bug Fix
Allow users to language switch,Feature Request
Form validation fails for sorting,Bug Fix
Expand Android section with example,Documentation
Form validation fails for file download,Bug Fix
Expand Chrome section with example,Documentation
Introduce PDF export filter in dashboard,Feature Request
Allow users to CSV export,Feature Request
Search yields empty on pagination,Bug Fix
App crashes when image preview on checkout,Bug Fix
Add troubleshooting for Safari,Documentation
Null pointer in file download flow,Bug Fix
Add option to dark mode in upload,Feature Request
Support auto-complete for Firefox,Feature Request
Expand Firefox section with example,Documentation
Introduce clicking save filter in notifications,Feature Request
Add option to filter apply in settings,Feature Request
Support PDF export for profile,Feature Request
Add adding tag export in Edge,Feature Request
Add PDF export export in S3,Feature Request
Fix typo in Chrome guide,Documentation
Make submitting form configurable,Feature Request
Fix typo in download guide,Documentation
Expand dashboard section with example,Documentation
Integrate password reset with Firefox,Feature Request
Create quickstart for search,Documentation
App crashes when sorting on Edge,Bug Fix
Document profile limitations,Documentation
Search yields empty on CSV export,Bug Fix
Slow response when file download,Bug Fix
Incorrect submitting form shown after profile,Bug Fix
Incorrect logout shown after billing,Bug Fix
Slow response when deleting item,Bug Fix
Document notifications environment vars,Documentation
Expand Chrome section with example,Documentation
Provide image preview in settings,Feature Request
App crashes when clicking save on settings,Bug Fix
App crashes when auto-complete on settings,Bug Fix
Add option to infinite scroll in billing,Feature Request
Button sorting not responding in Chrome,Bug Fix
Update changelog for reports,Documentation
Expand reports section with example,Documentation
Clarify download steps in docs,Documentation
Document reports limitations,Documentation
Slow response when deleting item,Bug Fix
Document settings limitations,Documentation
Update changelog for iOS,Documentation
Allow users to submitting form,Feature Request
Incorrect infinite scroll shown after OAuth,Bug Fix
Integrate refresh with profile,Feature Request
Provide CSV export in settings,Feature Request
Introduce clicking save filter in upload,Feature Request
Provide password reset in settings,Feature Request
App crashes when logout on Firefox,Bug Fix
Clarify checkout steps in docs,Documentation
Add troubleshooting for dashboard,Documentation
Login fails with file upload,Bug Fix
Add language switch export in download,Feature Request
Search yields empty on submitting form,Bug Fix
Create quickstart for reports,Documentation
Slow response when file upload,Bug Fix
Provide refresh in settings,Feature Request
Expand Firefox section with example,Documentation
Add option to sorting in checkout,Feature Request
App crashes when logout on iOS,Bug Fix
Support password reset for checkout,Feature Request
Login fails with file download,Bug Fix
Add troubleshooting for iOS,Documentation
Make password reset configurable,Feature Request
Fix typo in webhook guide,Documentation
Enable dark mode on iOS page,Feature Request
Support password reset for download,Feature Request
Document webhook environment vars,Documentation
Memory leak after sorting in notifications,Bug Fix
Login fails with clicking save,Bug Fix
Make password reset configurable,Feature Request
Improve README for S3 setup,Documentation
Add example for Firefox API,Documentation
Incorrect image preview shown after webhook,Bug Fix
Slow response when auto-complete,Bug Fix
Add sorting export in settings,Feature Request
Create quickstart for settings,Documentation
Page dark mode returns 500 in Chrome,Bug Fix
Make clicking save configurable,Feature Request
Page filter apply returns 500 in mobile,Bug Fix
Add example for profile API,Documentation
App crashes when file upload on notifications,Bug Fix
Integrate PDF export with settings,Feature Request
Expand upload section with example,Documentation
Expand reports section with example,Documentation
